index,company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls
8848,KADU Collect,kaducollect,kaducollect.com,https://kaducollect.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://kaducollect.com/careers | https://kaducollect.com/en/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8849,Kindery,kindery,kindery.co,https://kindery.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://kindery.co/careers | http://www.kindery.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8850,LGL/LatinMedios,lgllatinmedios,lgl-latinmedios.com,https://lgl-latinmedios.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://lgl-latinmedios.com/careers | http://www.lgl-latinmedios.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8851,Medpike,medpike,medpike.com,https://medpike.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://medpike.com/careers | http://medpike.com/site/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8852,Mensajeros Urbanos,mensajerosurbanos,mensajerosurbanos.com,https://mensajerosurbanos.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://mensajerosurbanos.com/careers | http://mensajerosurbanos.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8853,Milmenus.com,milmenuscom,milmenus.com,https://milmenus.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://milmenus.com/careers | http://www.milmenus.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8854,Mobii,mobii,mobii.co,https://mobii.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://mobii.co/careers | http://mobii.co/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8855,Nethub,nethub,nethub.co,https://nethub.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://nethub.co/careers | http://www.nethub.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8856,O4IT,o4it,o4it.com,https://o4it.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://o4it.com/careers | http://o4it.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8857,Ofi.com.co,oficomco,ofi.com.co,https://ofi.com.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://ofi.com.co/careers | http://www.ofi.com.co/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
